title,view_count,like_count,channel_name,published
＂한국의 민낯을 보고 싶다＂ 꽁..해있던 고영환의 마음을 바꾼 서울 투어☆ | 이제 만나러 갑니다 574 회,291789,3250,play 채널A,2022-12-18T15:23:09Z
[#이만갑모아보기] 자본주의 사치품에 제대로 눈 뜬 김정은! 대북 제재를 뚫는 FLEX #사치품 #북한 | 이제 만나러 갑니다 645 회,44918,527,play 채널A,2024-05-05T15:28:17Z
[#부칸썰] 갈수록 더 심해지는 北 빈부격차! 살아남기 위한 주민들의 인기 돈벌이 수단은?🔍 | #이만갑 1시간 몰아보기,167555,2523,play 채널A,2024-07-19T09:00:13Z
[#이만갑모아보기] 北 엘리트 조종사의 치욕스러운 추락! 동료 70명 앞에서 비판받고 따돌림 당하는 '사상투쟁 대상'이란? #이철수 #귀순 | 이제 만나러 갑니다 649 회,98519,1412,play 채널A,2024-06-02T15:30:06Z
[#이만갑모아보기] 북한에서 일어나는 불만의 바람! 2024년 북한 주민들의 인식은? #북한 #인식 | 이제 만나러 갑니다 655 회,55717,660,play 채널A,2024-07-14T15:31:06Z
[#이만갑모아보기] 전 세계 외신들이 주목한 북러 정상회담! 둘의 위험한 밀착 관계♨ #북한 #러시아 | 이제 만나러 갑니다 656 회,39237,469,play 채널A,2024-07-21T15:35:02Z
절체절명의 순간 ㄷㄷ #이제만나러갑니다,141363,3443,play 채널A,2024-06-16T15:15:02Z
[#밥친구] 북한 ICBM 인재와 기술의 집결지?! '김정은국방종합학교'의 비밀을 파헤쳐 봤다! | #이제만나러갑니다 643회,350046,3571,채널A WORLD,2024-04-28T13:00:05Z
가까워지는 북한과 러시아! 우크라이나 무기 지원 검토한 韓 정부 | 이제 만나러 갑니다 656 회,48366,388,play 채널A,2024-07-22T15:08:26Z
[#밥친구] 이거 국가보안법 위반 아닌가?! 남북의 역대급 범죄 공조  | 이제 만나러 갑니다 639 회,391337,3988,채널A WORLD,2024-03-31T13:40:00Z
[#밥친구] 몰래 한국 노래 즐기다 발각되어 총살 위기! 북한 단속과 공개 총살의 잔인함👿 | #이만갑 1시간 몰아보기,100980,1810,채널A WORLD,2024-08-27T08:00:25Z
새로운 정부 수립을 원하는 자유조선! 북한 내 들끓는 반발심 | 이제 만나러 갑니다 661 회,33101,315,play 채널A,2024-08-26T14:57:55Z
약 3만 개의 김 부자 동상을 지키는 북한 주민들! 왜 이렇게 동상이 많을까? | 이제 만나러 갑니다 661 회,7120,70,play 채널A,2024-08-26T14:33:50Z
북한 체제에 반대했던 김정남 아들 김한솔! 그를 구한 것은 다름 아닌 자유조선?! | 이제 만나러 갑니다 661 회,28311,206,play 채널A,2024-08-26T14:38:02Z
혈서까지 썼는데도 탈북한 이유? 전직 간첩 훈련병이 들려주는 살벌한 북한 간첩 이야기♨ | 이제 만나러 갑니다 580 회,993199,11170,play 채널A,2023-01-30T14:08:19Z
현대판 홍길동?! #이제만나러갑니다,9277,178,play 채널A,2024-08-25T15:53:27Z
이게 북한식 훈련법이야?😥 #이제만나러갑니다,45824,537,play 채널A,2024-08-04T16:12:30Z
[#이만갑모아보기] 北 사이버 범죄와의 전쟁♨ 美 기업에 위장취업한 北 기술자들 #북한 #위장취업 | 이제 만나러 갑니다 657 회,22532,282,play 채널A,2024-07-28T15:56:53Z
★3초 이상 보면 죽는다★ 김정은 최측근 경호원이 밝히는 김정은 경호의 비밀들! | 이제 만나러 갑니다 451 회 다시보기,2216233,12249,play 채널A,2020-08-09T15:34:47Z
[#밥친구] 4인 4색 제22대 국회의 北 전문가! 북한의 심상치 않은 행보와 역대급으로 뜨거운 토론 현장😯 | #이제만나러갑니다 650회,188900,2163,채널A WORLD,2024-06-16T13:00:25Z
