title,view_count,like_count,channel_name,published
"[#톡쏘능] ""12살부터 혼자 살았어...😥"" 어린 아들에게 외롭고 가슴 아팠던 어린 시절 고백하는 아빠 신성우  | #아빠는꽃중년 2회",179796,2330,채널에이드: 채널A Drama & Enjoy,2024-04-28T03:00:02Z
알콜 의존증까지!? 독거남 정재용의 충격적인 냉장고 상태♨♨ | 아빠는 꽃중년 15 회,44246,157,play 채널A,2024-08-04T22:19:24Z
아빠 나이를 모르는 희수?! 범수가 나이를 밝히지 않는 이유... | 아빠는 꽃중년 18 회,9370,75,play 채널A,2024-08-30T13:21:34Z
본격 육아 시작♨♨ 루희 인생 첫 수영 도전♥ | 아빠는 꽃중년 18 회,18885,87,play 채널A,2024-08-30T12:58:08Z
"늦둥이 낳은 아빠들, 김용건 & 김구라 속마음 최초 공개｜아빠는 꽃중년 뒤풀이",140924,1168,play 채널A,2024-04-26T08:30:06Z
[#톡쏘능] 최초공개📢배우 안재욱의 미라클모닝하는 8살 딸과 말로 못이기는 언변술사 3살 아들 | #아빠는꽃중년 3회,521288,4059,채널에이드: 채널A Drama & Enjoy,2024-05-05T03:00:15Z
"[#톡쏘능]  ""연락하지 말래요...😥"" 이혼한 아내 다시 만난 정재용💥 용서를 구하기 위한 재용의 노력🙏 | #아빠는꽃중년 16회",203060,1233,채널에이드: 채널A Drama & Enjoy,2024-08-18T03:00:01Z
[#에이콕] 일흔 넘은 나이에 늦둥이 낳은 김용건의 솔직한 심경📢 '43살 차이' 하정우 막내동생 낳아준 김용건 | #아빠는꽃중년,24151,171,채널에이드: 채널A Drama & Enjoy,2024-05-10T03:00:31Z
[#에이콕] 어머!!👀💡김원준 의사 집안이었어?!🦴👨‍⚕️의사 아버지❤️간호사 어머니의 콩닥콩닥한 러브스토리 공개❣️ | #아빠는꽃중년,168199,837,채널에이드: 채널A Drama & Enjoy,2024-06-09T03:00:32Z
[#톡쏘능]출연거부🚫완강했던 김원준 어머니🙅제작진이 직접 나서서 설득해 출연 결심한 이유는? | 아빠는꽃중년 4회,417786,4034,채널에이드: 채널A Drama & Enjoy,2024-05-12T03:00:25Z
"김용건 김구라, 늦둥이 아빠된 솔직한 소감｜아빠는 꽃중년 뒤풀이",68536,645,빼밀리,2024-05-01T23:00:30Z
[클립배송] 소통불가?! 50살 꽃중년아빠 김원준과 MZ엄마들의 잘못된 만남  | 아빠는 꽃중년 8 회,34681,159,채널에이드: 채널A Drama & Enjoy,2024-06-14T12:47:06Z
"""이혼한 아내에게 사과의 기회를 얻고 싶어요.."" DJ DOC 정재용이 이혼 후 2년 만에 마주한 전처와의 만남은? | 아빠는 꽃중년",27671,134,빼밀리,2024-08-19T03:00:41Z
[#클립배송] 외가에 월 400만원씩 지원한 동현! 이번엔 친가에 효도 플렉스! 군입대전 친할머니와 럭셔리호텔에서 하룻밤♥|#아빠는꽃중년 14회 | 아빠는 꽃중년 14 회,124459,1047,채널에이드: 채널A Drama & Enjoy,2024-07-26T12:52:34Z
"[#아빠는꽃중년] 돌아가신 아버지의 빈자리, 아이들이 이별을 받아들이는 방식 #안재욱 #아버지 #별세 | 아빠는 꽃중년 11 회",58516,422,play 채널A,2024-07-04T14:36:03Z
[#톡쏘능]자기야 미안해🙏'성욕이 급격히 줄었어...' ♨️중년남성의 고민을 찐하게 털어놓는 안재욱| #아빠는꽃중년 9회,62630,370,채널에이드: 채널A Drama & Enjoy,2024-06-23T03:00:34Z
[#아빠는꽃중년] 입대 전 마지막 힐링 여행★ 떠나는 동현에게 구라가 전하는 진심... | 아빠는 꽃중년 15 회,35531,387,play 채널A,2024-08-01T14:42:31Z
[예고] 엘리트 꽃중년 등장?! 김범수의 천재적인 여덟 살 딸 공개★ | 아빠는 꽃중년 17 회,15216,51,play 채널A,2024-08-16T00:38:11Z
요리하는 아빠 신성우👨🏻‍🍳와 아들 태오&환준이의 먹방! 아기가 울지도 않고 잘 먹네요😋 | 아빠는 꽃중년,10163,126,빼밀리,2024-07-01T03:00:19Z
늦둥이 딸과 영상통화하는 구라♥ 딸 이용하는(?) 구라에게 날린 동현의 팩폭ㅋㅋㅋ | 아빠는 꽃중년 12 회,50354,325,play 채널A,2024-07-12T15:07:27Z
[#톡쏘능] 아빠 마음 쿵 내려앉은 순간..😨안재욱 가족의 다사다난한 매운맛 캠핑🏕️💥| #아빠는꽃중년 5회,55552,511,채널에이드: 채널A Drama & Enjoy,2024-05-19T03:00:19Z
[#아빠는꽃중년] 도현이가 준비한 효도 이벤트(?) 도현 인생 첫 사진 촬영 도전♨♨ #안재욱 #어버이날 | 아빠는 꽃중년 8 회,51653,352,play 채널A,2024-06-13T14:36:43Z
출산을 위한 대장정!! 진통의 서막부터 역사적인 탄생 순간까지 담은 영상 최초공개👶🏻 이지훈&아야네 득녀했어요👧🏻💖 | 아빠는 꽃중년,24360,159,빼밀리,2024-08-21T03:00:34Z
↖희수 행복↗ 울던 딸이 달라졌다?! 문구점 외출에 신난 희수♥ | 아빠는 꽃중년 17 회,16225,124,play 채널A,2024-08-23T13:06:58Z
딸에게 나이 숨기는 아빠 #아빠는꽃중년,53137,1055,채널에이드: 채널A Drama & Enjoy,2024-08-29T21:30:02Z
[#밥친구] 재욱의 권유로 단발로 자른 수현!! 미용실을 나오자 분위기가 심상치 않다...? | #아빠는꽃중년 8회,46965,438,채널A WORLD,2024-06-20T13:00:06Z
//울컥// 성우가 아이들에게 좋은 추억을 남겨주고 싶은 이유 | 아빠는 꽃중년 4 회,12270,135,play 채널A,2024-05-10T13:13:27Z
"[#아빠는꽃중년] 친구보다 두 배 더 늙었다?? 피부 중환자 성우, 한살이라도 젊어지기 위한 피나는 노력 시작♨♨   | 아빠는 꽃중년 13 회",22184,230,play 채널A,2024-07-18T14:36:43Z
환준이가 천재인 이유 #아빠는꽃중년,383078,4882,play 채널A,2024-05-09T15:23:32Z
[#클립배송] 신성우의 검버선 없애기 프로젝트! 피부미남 광규의 뷰티비법 대전수|#아빠는꽃중년 13회 | 아빠는 꽃중년 13 회,18137,124,채널에이드: 채널A Drama & Enjoy,2024-07-19T13:06:30Z
나이 비밀로 하는 늦둥이 아빠 #아빠는꽃중년,183001,3016,빼밀리,2024-08-29T21:30:04Z
"[#아빠는꽃중년] 원감님과 갑작스러운 면담 신청?! 육아왕 원준, 최근 고민이 많아진 이유는? | 아빠는 꽃중년 2 회",128005,910,play 채널A,2024-04-25T14:18:37Z
[예고] 16시간 째 몰아치는 진통!? 지훈♥아야네 젤리 출산기 대공개 | 아빠는 꽃중년 16 회,23455,78,play 채널A,2024-08-07T07:10:07Z
